video_id,offset,start,end
2019_0503_150006_003.MP4.mp4,4299,5957,6486
14570001.MOV.mp4,0,6487,6775
MAH00790.MP4.mp4,4673,6776,6919
14570001.MOV.mp4,0,6920,7107
MAH00790.MP4.mp4,4673,7108,7757
2019_0503_150006_003.MP4.mp4,4299,9376,10171
MAH00790.MP4.mp4,4673,10172,10374
2019_0503_150006_003.MP4.mp4,4299,10375,10670
14570001.MOV.mp4,0,10671,10887
2019_0503_150006_003.MP4.mp4,4299,10888,11017
14570001.MOV.mp4,0,11018,11211
MAH00790.MP4.mp4,4673,11212,11425
2019_0503_150006_003.MP4.mp4,4299,11426,11629
MAH00790.MP4.mp4,4673,11630,11944
14570001.MOV.mp4,0,11945,12260
2019_0503_150006_003.MP4.mp4,4299,12261,12951
MAH00790.MP4.mp4,4673,12952,13339
2019_0503_150006_003.MP4.mp4,4299,13340,13572
MAH00790.MP4.mp4,4673,13573,13827
14570001.MOV.mp4,0,13828,14009
2019_0503_150006_003.MP4.mp4,4299,14010,14304
14570001.MOV.mp4,0,14305,14495
2019_0503_150006_003.MP4.mp4,4299,14496,14942
14570001.MOV.mp4,0,14943,15431
2019_0503_150006_003.MP4.mp4,4299,15432,16261
MAH00790.MP4.mp4,4673,16262,16462
14570001.MOV.mp4,0,16463,16843
MAH00790.MP4.mp4,4673,16844,16968
14570001.MOV.mp4,0,16969,17064
MAH00790.MP4.mp4,4673,17065,17284
2019_0503_150006_003.MP4.mp4,4299,19051,19654
14570001.MOV.mp4,0,19655,19997
MAH00790.MP4.mp4,4673,19998,20831
2019_0503_150006_003.MP4.mp4,4299,22238,22381
MAH00790.MP4.mp4,4673,22382,22637
2019_0503_150006_003.MP4.mp4,4299,22638,23059
14570001.MOV.mp4,0,23060,23257
2019_0503_150006_003.MP4.mp4,4299,23258,23357
14570001.MOV.mp4,0,23358,23545
2019_0503_150006_003.MP4.mp4,4299,23546,23734
MAH00790.MP4.mp4,4673,23735,24073
2019_0503_150006_003.MP4.mp4,4299,24074,24353
14570001.MOV.mp4,0,24354,24717
MAH00791.MP4.mp4,51549,53811,54168
14570001.MOV.mp4,0,54169,54374
MAH00791.MP4.mp4,51549,54375,54496
14570001.MOV.mp4,0,54497,54639
2019_0503_152615_004.MP4.mp4,51381,54640,55366
14570001.MOV.mp4,0,55367,55765
2019_0503_152615_004.MP4.mp4,51381,55766,56701
MAH00791.MP4.mp4,51549,56702,56947
2019_0503_152615_004.MP4.mp4,51381,56948,57118
MAH00791.MP4.mp4,51549,57119,59037
14570001.MOV.mp4,0,59038,59520
2019_0503_152615_004.MP4.mp4,51381,59521,59685
MAH00791.MP4.mp4,51549,59686,59843
14570001.MOV.mp4,0,59844,60486
2019_0503_152615_004.MP4.mp4,51381,60487,61022
14570001.MOV.mp4,0,61023,61243
2019_0503_152615_004.MP4.mp4,51381,61244,62099
14570001.MOV.mp4,0,62100,62226
2019_0503_152615_004.MP4.mp4,51381,62227,62375
14570001.MOV.mp4,0,62376,62771
MAH00791.MP4.mp4,51549,62772,63037
2019_0503_152615_004.MP4.mp4,51381,63038,63269
14570001.MOV.mp4,0,63270,63454
MAH00791.MP4.mp4,51549,63455,63687
2019_0503_152615_004.MP4.mp4,51381,63688,64295
MAH00791.MP4.mp4,51549,64296,64736
14570001.MOV.mp4,0,64737,64926
2019_0503_152615_004.MP4.mp4,51381,64927,65142
14570001.MOV.mp4,0,65143,68097
14570001.MOV.mp4,0,68098,68228
2019_0503_152615_004.MP4.mp4,51381,68229,68562
MAH00791.MP4.mp4,51549,68563,68896
2019_0503_152615_004.MP4.mp4,51381,68897,69325
14570001.MOV.mp4,0,69326,69468
MAH00791.MP4.mp4,51549,69469,69701
2019_0503_152615_004.MP4.mp4,51381,69702,70124
14570001.MOV.mp4,0,70125,70464
2019_0503_152615_004.MP4.mp4,51381,70465,70702
14570001.MOV.mp4,0,70703,70976
2019_0503_152615_004.MP4.mp4,51381,70977,71209
MAH00791.MP4.mp4,51549,71210,71489
14570001.MOV.mp4,0,71490,71713
MAH00791.MP4.mp4,51549,71714,71854
14570001.MOV.mp4,0,71855,72103
MAH00791.MP4.mp4,51549,72104,72234
14570001.MOV.mp4,0,72235,72890
