video_id,offset,start,end
MAH00790.MP4.mp4,4673,5991,6104
2019_0503_150006_003.MP4.mp4,4299,6105,6194
14570001.MOV.mp4,0,6195,6347
2019_0503_150006_003.MP4.mp4,4299,6348,6467
MAH00790.MP4.mp4,4673,6468,7367
2019_0503_150006_003.MP4.mp4,4299,7368,7811
14570001.MOV.mp4,0,7812,9377
MAH00790.MP4.mp4,4673,9378,9755
2019_0503_150006_003.MP4.mp4,4299,9756,10106
MAH00790.MP4.mp4,4673,10107,12329
2019_0503_150006_003.MP4.mp4,4299,12330,12599
MAH00790.MP4.mp4,4673,12600,12995
2019_0503_150006_003.MP4.mp4,4299,12996,13091
MAH00790.MP4.mp4,4673,13092,14087
2019_0503_150006_003.MP4.mp4,4299,14088,14207
MAH00790.MP4.mp4,4673,14208,14405
2019_0503_150006_003.MP4.mp4,4299,14406,14576
MAH00790.MP4.mp4,4673,14577,15212
2019_0503_150006_003.MP4.mp4,4299,15213,15713
MAH00790.MP4.mp4,4673,15714,15977
2019_0503_150006_003.MP4.mp4,4299,15978,16043
MAH00790.MP4.mp4,4673,16044,17264
14570001.MOV.mp4,0,17265,19175
MAH00790.MP4.mp4,4673,19176,20660
14570001.MOV.mp4,0,20661,22427
MAH00790.MP4.mp4,4673,22428,22790
2019_0503_150006_003.MP4.mp4,4299,22791,23333
MAH00790.MP4.mp4,4673,23334,24551
2019_0503_150006_003.MP4.mp4,4299,24552,24656
MAH00791.MP4.mp4,51549,54174,54767
2019_0503_152615_004.MP4.mp4,51381,54768,55709
MAH00791.MP4.mp4,51549,55710,56075
2019_0503_152615_004.MP4.mp4,51381,56076,56348
MAH00791.MP4.mp4,51549,56349,57155
2019_0503_152615_004.MP4.mp4,51381,57156,57479
14570001.MOV.mp4,0,57480,59597
2019_0503_152615_004.MP4.mp4,51381,59598,59744
MAH00791.MP4.mp4,51549,59745,59834
2019_0503_152615_004.MP4.mp4,51381,59835,60338
14570001.MOV.mp4,0,60339,60518
MAH00791.MP4.mp4,51549,60519,61046
2019_0503_152615_004.MP4.mp4,51381,61047,61286
MAH00791.MP4.mp4,51549,61287,61598
2019_0503_152615_004.MP4.mp4,51381,61599,61811
MAH00791.MP4.mp4,51549,61812,61979
2019_0503_152615_004.MP4.mp4,51381,61980,62141
MAH00791.MP4.mp4,51549,62142,62465
2019_0503_152615_004.MP4.mp4,51381,62466,62597
MAH00791.MP4.mp4,51549,62598,63815
2019_0503_152615_004.MP4.mp4,51381,63816,63941
MAH00791.MP4.mp4,51549,63942,65474
2019_0503_152615_004.MP4.mp4,51381,65475,65641
MAH00791.MP4.mp4,51549,65642,67254
14570001.MOV.mp4,0,67255,68227
MAH00791.MP4.mp4,51549,68228,68347
2019_0503_152615_004.MP4.mp4,51381,68348,68605
MAH00791.MP4.mp4,51549,68606,69001
2019_0503_152615_004.MP4.mp4,51381,69002,69247
MAH00791.MP4.mp4,51549,69248,69630
2019_0503_152615_004.MP4.mp4,51381,69631,69841
MAH00791.MP4.mp4,51549,69842,70332
2019_0503_152615_004.MP4.mp4,51381,70333,70903
MAH00791.MP4.mp4,51549,70904,72271
