video_id,offset,start,end
2019_0503_150006_003.MP4.mp4,4299,6279,6484
MAH00790.MP4.mp4,4673,6485,6677
14570001.MOV.mp4,0,6678,6984
MAH00790.MP4.mp4,4673,6985,7371
14570001.MOV.mp4,0,7372,7673
MAH00790.MP4.mp4,4673,7674,9604
2019_0503_150006_003.MP4.mp4,4299,9605,10098
MAH00790.MP4.mp4,4673,10099,10556
14570001.MOV.mp4,0,10557,10917
MAH00790.MP4.mp4,4673,10918,12161
2019_0503_150006_003.MP4.mp4,4299,12162,12520
14570001.MOV.mp4,0,12521,12813
2019_0503_150006_003.MP4.mp4,4299,12814,13231
MAH00790.MP4.mp4,4673,13232,13741
2019_0503_150006_003.MP4.mp4,4299,13742,14475
14570001.MOV.mp4,0,14476,14769
2019_0503_150006_003.MP4.mp4,4299,14770,16217
MAH00790.MP4.mp4,4673,16218,16443
14570001.MOV.mp4,0,16444,16731
MAH00790.MP4.mp4,4673,16732,17046
14570001.MOV.mp4,0,17047,17128
MAH00790.MP4.mp4,4673,17129,17246
14570001.MOV.mp4,0,17247,19368
2019_0503_150006_003.MP4.mp4,4299,19369,19850
MAH00790.MP4.mp4,4673,19851,20751
14570001.MOV.mp4,0,22284,22515
2019_0503_150006_003.MP4.mp4,4299,22516,22729
14570001.MOV.mp4,0,22730,23070
MAH00790.MP4.mp4,4673,23071,23312
14570001.MOV.mp4,0,23313,23629
MAH00790.MP4.mp4,4673,23630,24461
MAH00791.MP4.mp4,51549,53915,54754
14570001.MOV.mp4,0,54755,55083
2019_0503_152615_004.MP4.mp4,51381,55084,55449
14570001.MOV.mp4,0,55450,55767
MAH00791.MP4.mp4,51549,55768,56070
2019_0503_152615_004.MP4.mp4,51381,56071,56502
MAH00791.MP4.mp4,51549,56503,56628
14570001.MOV.mp4,0,56629,57117
MAH00791.MP4.mp4,51549,57118,57560
14570001.MOV.mp4,0,59579,60205
MAH00791.MP4.mp4,51549,60206,60535
14570001.MOV.mp4,0,60536,60777
2019_0503_152615_004.MP4.mp4,51381,60778,61913
MAH00791.MP4.mp4,51549,61914,62317
14570001.MOV.mp4,0,62318,62768
MAH00791.MP4.mp4,51549,62769,63275
2019_0503_152615_004.MP4.mp4,51381,63276,64171
14570001.MOV.mp4,0,64172,64592
MAH00791.MP4.mp4,51549,64593,65196
14570001.MOV.mp4,0,65197,68120
14570001.MOV.mp4,0,68121,68948
MAH00791.MP4.mp4,51549,68949,69230
2019_0503_152615_004.MP4.mp4,51381,69231,69981
MAH00791.MP4.mp4,51549,69982,70340
14570001.MOV.mp4,0,70341,70913
MAH00791.MP4.mp4,51549,70914,71783
14570001.MOV.mp4,0,71784,72300
