start,end
6348,6467
6485,6677
6985,7367
9378,9604
9756,10098
10107,10556
10918,12161
12330,12520
12996,13091
13232,13741
14088,14207
14406,14475
15213,15713
15978,16043
16218,16443
16732,17046
17129,17246
17265,19175
19851,20660
22284,22427
23630,24461
54174,54754
55084,55449
55768,56070
56076,56348
56503,56628
57118,57155
59579,59597
60519,60535
61047,61286
61599,61811
61914,61979
62142,62317
62769,63275
63816,63941
64593,65196
67255,68227
68949,69001
69231,69247
69631,69841
69982,70332
